Date,Price
2017-06-19,2569.2734020999997
2017-06-20,2763.9206563000002
2017-06-21,2560.2891548000002
2017-06-22,2680.7673484
2017-06-23,2706.0844471
2017-06-24,2588.48
2017-06-25,2468.6759825
2017-06-26,2390.0459848
2017-06-27,2447.8600522
2017-06-28,2588.9794266
2017-06-29,2556.21
2017-06-30,2462.3949551
2017-07-01,2416.6261806999996
2017-07-02,2524.976812
2017-07-03,2559.9830457
2017-07-04,2579.1971795000004
2017-07-05,2613.7184860999996
2017-07-06,2598.2926767
2017-07-07,2495.1103466
2017-07-08,2541.3494635
2017-07-09,2534.8627079
2017-07-10,2341.3098583
2017-07-11,2329.6006786
2017-07-12,2364.2291937
2017-07-13,2335.9320585
2017-07-14,2177.3320196
2017-07-15,2031.0623332000002
2017-07-16,1889.2085438000001
2017-07-17,2156.8361257
2017-07-18,2349.9955026000002
2017-07-19,2258.3882062
2017-07-20,2739.5536987
2017-07-21,2634.0398845
2017-07-22,2822.0301524
2017-07-23,2776.9949672
2017-07-24,2750.4541698000003
2017-07-25,2568.2997944000003
2017-07-26,2451.7611835000002
2017-07-27,2646.7265668
2017-07-28,2774.7216751999995
2017-07-29,2716.4734670000003
2017-07-30,2727.1913399
2017-07-31,2861.5507908000004
2017-08-01,2725.9918881
2017-08-02,2666.7575879
2017-08-03,2779.9821366
2017-08-04,2838.9993283000003
2017-08-05,3215.2767288000005
2017-08-06,3259.9989677
2017-08-07,3371.06
2017-08-08,3433.568053
2017-08-09,3353.7865641
2017-08-10,3427.9
2017-08-11,3623.5207142
2017-08-12,3817.4450337
2017-08-13,4115.2449043999995
2017-08-14,4290.8521433
2017-08-15,4126.2160109999995
2017-08-16,4317.9032675
2017-08-17,4313.41
2017-08-18,4065.7178413
2017-08-19,4125.2605605
2017-08-20,4134.4899996
2017-08-21,4029.8556865
2017-08-22,4100.01
2017-08-23,4097.6824759
2017-08-24,4236.4910731
2017-08-25,4345.685404999999
2017-08-26,4336.28
2017-08-27,4365.025401100001
2017-08-28,4374.9845503
2017-08-29,4613.733176600001
2017-08-30,4577.9983883
2017-08-31,4740.3490211
2017-09-01,4869.9889262
2017-09-02,4546.1994859999995
2017-09-03,4609.99
2017-09-04,4518.931825199999
2017-09-05,4433.7013536
2017-09-06,4594.012176300001
2017-09-07,4612.0274682
2017-09-08,4208.1482011
2017-09-09,4279.776617099999
2017-09-10,4258.5738077
2017-09-11,4198.7284883
2017-09-12,4202.067403
2017-09-13,3875.9804511
2017-09-14,3312.4730796999997
2017-09-15,3813.4309287
2017-09-16,3727.9837515
2017-09-17,3749.3763252
2017-09-18,4079.1456914000005
2017-09-19,3907.0822521
2017-09-20,3947.9171011999993
2017-09-21,3648.9389730999997
2017-09-22,3630.9893939000003
2017-09-23,3744.19
2017-09-24,3670.12
2017-09-25,3945.0055708000004
2017-09-26,3915.2925226999996
2017-09-27,4189.8493258
2017-09-28,4191.1013693
2017-09-29,4178.6402815
2017-09-30,4311.1853585
2017-10-01,4345.1657216
2017-10-02,4375.8406632
2017-10-03,4277.2971296999995
2017-10-04,4214.9913145
2017-10-05,4331.018124
2017-10-06,4340.47
2017-10-07,4346.9885272
2017-10-08,4586.1558671
2017-10-09,4810.6583661
2017-10-10,4815.9992381
2017-10-11,4798.072055
2017-10-12,5293.510652
2017-10-13,5573.0740013
2017-10-14,5724.4959573
2017-10-15,5569.2562081
2017-10-16,5709.36
2017-10-17,5577.0093161
2017-10-18,5507.5093744
2017-10-19,5719.6977226
2017-10-20,5971.1819806
2017-10-21,6066.0014686
2017-10-22,5919.677229
2017-10-23,5884.999865600001
2017-10-24,5470.088430899999
2017-10-25,5681.926393600001
2017-10-26,5829.0968035
2017-10-27,5762.3099765
2017-10-28,5739.0292522
2017-10-29,6167.2205593
2017-10-30,6105.3321657
2017-10-31,6389.012592399999
2017-11-01,6677.3072625
2017-11-02,7030.0139143999995
2017-11-03,7180.2464926
2017-11-04,7428.579783600001
2017-11-05,7369.4350229
2017-11-06,7018.9359118
2017-11-07,7080.0
2017-11-08,7400.797129199999
2017-11-09,7128.5834105
2017-11-10,6703.9322519
2017-11-11,6333.6794414999995
2017-11-12,5706.3569289
2017-11-13,6475.164062100001
2017-11-14,6573.2470702
2017-11-15,7279.0299802
2017-11-16,7786.2148552
2017-11-17,7769.2269654
2017-11-18,7820.6972142
2017-11-19,8028.579730600001
2017-11-20,8280.6269251
2017-11-21,8000.4596043
2017-11-22,8265.052531
2017-11-23,8155.006886499999
2017-11-24,8274.997395999999
2017-11-25,8727.4990325
2017-11-26,9427.7265734
2017-11-27,9692.16
2017-11-28,9950.2290168
2017-11-29,10063.072616
2017-11-30,9802.9937641
2017-12-01,10843.075456999999
2017-12-02,10986.598053
2017-12-03,11218.541309
2017-12-04,11511.458331
2017-12-05,11780.009973999999
2017-12-06,14326.756965999999
2017-12-07,17192.394351
2017-12-08,16327.797223
2017-12-09,15238.801191
2017-12-10,14847.294848
2017-12-11,17059.907069
2017-12-12,17797.986405
2017-12-13,16791.217105
2017-12-14,16744.734278
2017-12-15,17717.22473
2017-12-16,19595.875062
2017-12-17,19679.315838
2017-12-18,18848.683101
2017-12-19,17446.786366
2017-12-20,16383.695212999999
2017-12-21,15768.724261000001
2017-12-22,15452.621971
2017-12-23,15459.056747
2017-12-24,14087.396961000002
2017-12-25,14094.872263999998
2017-12-26,15781.055011000002
2017-12-27,15274.982671000002
2017-12-28,14087.441173
2017-12-29,14662.187237
2017-12-30,13168.221841
2017-12-31,13946.996975
2018-01-01,13538.104793999999
2018-01-02,14873.621272
2018-01-03,14867.591391
2018-01-04,15014.998413999998
2018-01-05,16974.415716
2018-01-06,17029.670156
2018-01-07,16408.992374
2018-01-08,14735.939666999999
2018-01-09,14459.520896
2018-01-10,14453.801350999998
2018-01-11,13120.09917
2018-01-12,13655.250843000002
2018-01-13,14310.107519
2018-01-14,13599.920261000001
2018-01-15,13816.809909
2018-01-16,11239.722844
2018-01-17,11179.149214000001
2018-01-18,11329.074105
2018-01-19,11268.572173
2018-01-20,12813.262104000001
2018-01-21,11204.42739
2018-01-22,10651.474522
2018-01-23,11047.008856
2018-01-24,11100.008778
2018-01-25,11160.604997
2018-01-26,10800.243926000001
2018-01-27,11361.243039
2018-01-28,11493.791377
2018-01-29,11032.705277
2018-01-30,10124.208471
2018-01-31,10026.278435
2018-02-01,8939.9886456
2018-02-02,8739.303841500001
2018-02-03,9109.4824423
2018-02-04,8407.598481
2018-02-05,6807.1011616
2018-02-06,7644.854675399999
2018-02-07,7862.546871100001
2018-02-08,8183.5160949
2018-02-09,8567.9958195
2018-02-10,8577.8047252
2018-02-11,8299.9832038
2018-02-12,8875.5154249
2018-02-13,8535.503638
2018-02-14,9430.007505500002
2018-02-15,10079.348585
2018-02-16,10198.600253
2018-02-17,10964.986425
2018-02-18,10594.446698
2018-02-19,11088.920893
2018-02-20,11410.062526
2018-02-21,10454.995439
2018-02-22,9957.943397399999
2018-02-23,10137.6424
2018-02-24,9618.370242899999
2018-02-25,9667.9013413
2018-02-26,10351.001724
2018-02-27,10709.594981
2018-02-28,10433.779098
2018-03-01,10954.994922
2018-03-02,11080.503747
2018-03-03,11374.997278
2018-03-04,11374.546644
2018-03-05,11544.967725
2018-03-06,10773.02725
2018-03-07,9935.0033088
2018-03-08,9273.3321531
2018-03-09,9236.269149700001
2018-03-10,8859.0593923
2018-03-11,9517.4783372
2018-03-12,9027.8019589
2018-03-13,9158.516726200001
2018-03-14,8184.068533
2018-03-15,8320.3129304
2018-03-16,8494.0554784
2018-03-17,8021.992842199999
2018-03-18,8137.813025300001
2018-03-19,8498.8925588
2018-03-20,8940.3348439
2018-03-21,8838.590864700001
2018-03-22,8681.4702748
2018-03-23,8653.5317856
2018-03-24,8639.8457919
2018-03-25,8626.6174687
2018-03-26,7882.596439899999
2018-03-27,7992.0029072
2018-03-28,7874.177256399999
2018-03-29,7048.373027399999
2018-03-30,6915.826925599999
2018-03-31,6929.988352600001
2018-04-01,6828.4314613999995
2018-04-02,6975.018936300001
2018-04-03,7429.4673455
2018-04-04,6824.818445100001
2018-04-05,6726.59
2018-04-06,6624.998348800001
2018-04-07,6969.2199579
2018-04-08,6988.3651616
